year,set,subject,marks,source_url
2013,1,IS & Software Engg.,3,https://docs.google.com/spreadsheets/d/1ELvXc5h1iMOv31KZ4m6UQQZq3J8g-nVhZNlTP9Vpiuc/edit?gid=935355893
2013,1,Web Technologies,0,https://docs.google.com/spreadsheets/d/1ELvXc5h1iMOv31KZ4m6UQQZq3J8g-nVhZNlTP9Vpiuc/edit?gid=935355893
2014,1,Probability,3,https://docs.google.com/spreadsheets/d/1ELvXc5h1iMOv31KZ4m6UQQZq3J8g-nVhZNlTP9Vpiuc/edit?gid=935355893
2014,1,Linear Algebra,2,https://docs.google.com/spreadsheets/d/1ELvXc5h1iMOv31KZ4m6UQQZq3J8g-nVhZNlTP9Vpiuc/edit?gid=935355893
2014,1,Calculus,5,https://docs.google.com/spreadsheets/d/1ELvXc5h1iMOv31KZ4m6UQQZq3J8g-nVhZNlTP9Vpiuc/edit?gid=935355893
2014,1,Numerical Methods,0,https://docs.google.com/spreadsheets/d/1ELvXc5h1iMOv31KZ4m6UQQZq3J8g-nVhZNlTP9Vpiuc/edit?gid=935355893
2014,1,Mathematical Logic,3,https://docs.google.com/spreadsheets/d/1ELvXc5h1iMOv31KZ4m6UQQZq3J8g-nVhZNlTP9Vpiuc/edit?gid=935355893
2014,1,Set Theory & Algebra,2,https://docs.google.com/spreadsheets/d/1ELvXc5h1iMOv31KZ4m6UQQZq3J8g-nVhZNlTP9Vpiuc/edit?gid=935355893
2014,1,Combinatory,2,https://docs.google.com/spreadsheets/d/1ELvXc5h1iMOv31KZ4m6UQQZq3J8g-nVhZNlTP9Vpiuc/edit?gid=935355893
2014,1,Graph Theory,5,https://docs.google.com/spreadsheets/d/1ELvXc5h1iMOv31KZ4m6UQQZq3J8g-nVhZNlTP9Vpiuc/edit?gid=935355893
2014,1,Digital Logic,4,https://docs.google.com/spreadsheets/d/1ELvXc5h1iMOv31KZ4m6UQQZq3J8g-nVhZNlTP9Vpiuc/edit?gid=935355893
2014,1,CO & Architecture,7,https://docs.google.com/spreadsheets/d/1ELvXc5h1iMOv31KZ4m6UQQZq3J8g-nVhZNlTP9Vpiuc/edit?gid=935355893
2014,1,Programming,1,https://docs.google.com/spreadsheets/d/1ELvXc5h1iMOv31KZ4m6UQQZq3J8g-nVhZNlTP9Vpiuc/edit?gid=935355893
2014,1,Data Structures,3,https://docs.google.com/spreadsheets/d/1ELvXc5h1iMOv31KZ4m6UQQZq3J8g-nVhZNlTP9Vpiuc/edit?gid=935355893
2014,1,Algorithms,13,https://docs.google.com/spreadsheets/d/1ELvXc5h1iMOv31KZ4m6UQQZq3J8g-nVhZNlTP9Vpiuc/edit?gid=935355893
2014,1,Theory of Computation,6,https://docs.google.com/spreadsheets/d/1ELvXc5h1iMOv31KZ4m6UQQZq3J8g-nVhZNlTP9Vpiuc/edit?gid=935355893
2014,1,Compiler Design,3,https://docs.google.com/spreadsheets/d/1ELvXc5h1iMOv31KZ4m6UQQZq3J8g-nVhZNlTP9Vpiuc/edit?gid=935355893
2014,1,Operating System,8,https://docs.google.com/spreadsheets/d/1ELvXc5h1iMOv31KZ4m6UQQZq3J8g-nVhZNlTP9Vpiuc/edit?gid=935355893
2014,1,Databases,8,https://docs.google.com/spreadsheets/d/1ELvXc5h1iMOv31KZ4m6UQQZq3J8g-nVhZNlTP9Vpiuc/edit?gid=935355893
2014,1,Computer Networks,8,https://docs.google.com/spreadsheets/d/1ELvXc5h1iMOv31KZ4m6UQQZq3J8g-nVhZNlTP9Vpiuc/edit?gid=935355893
2014,1,Quantitative Aptitude,8,https://docs.google.com/spreadsheets/d/1ELvXc5h1iMOv31KZ4m6UQQZq3J8g-nVhZNlTP9Vpiuc/edit?gid=935355893
2014,1,Verbal Aptitude,7,https://docs.google.com/spreadsheets/d/1ELvXc5h1iMOv31KZ4m6UQQZq3J8g-nVhZNlTP9Vpiuc/edit?gid=935355893
2014,1,IS & Software Engg.,1,https://docs.google.com/spreadsheets/d/1ELvXc5h1iMOv31KZ4m6UQQZq3J8g-nVhZNlTP9Vpiuc/edit?gid=935355893
2014,1,Web Technologies,1,https://docs.google.com/spreadsheets/d/1ELvXc5h1iMOv31KZ4m6UQQZq3J8g-nVhZNlTP9Vpiuc/edit?gid=935355893
